HS Hafnaf (Adaltafla  09/22/10 14:10)	Phase A Current Harmonics Summary, RMS Values. Sep 23 2010 14:10:56 (K=0.5)
Harm	Avg	Max
1	9.918	30.338
2	0.091	2.124
3	0.939	3.328
4	0.052	0.861
5	0.576	1.353
6	0.039	0.570
7	0.887	2.726
8	0.039	0.803
9	0.382	1.237
10	0.032	0.363
11	0.376	1.502
12	0.026	0.434
13	0.259	1.055
14	0.026	0.544
15	0.104	0.427
16	0.019	0.369
17	0.110	0.479
18	0.019	0.214
19	0.110	1.101
20	0.019	0.919
21	0.052	4.778
22	0.013	0.803
23	0.071	0.550
24	0.013	0.414
25	0.084	0.602
26	0.013	0.324
27	0.039	0.298
28	0.006	0.214
29	0.039	0.227
30	0.006	0.155
31	0.032	0.233
32	0.006	0.227
33	0.032	0.240
34	0.006	0.252
35	0.026	0.259
36	0.006	0.220
37	0.026	0.162
38	0.006	0.155
39	0.019	0.168
40	0.006	0.123
41	0.019	0.123
42	0.006	0.123
43	0.019	0.129
44	0.006	0.129
45	0.013	0.142
46	0.006	0.136
47	0.019	0.155
48	0.006	0.142
49	0.019	0.155
50	0.006	0.149
51	0.013	0.162
52	0.006	0.168
53	0.013	0.181
54	0.006	0.181
55	0.013	0.194
56	0.006	0.194
57	0.013	0.214
58	0.006	0.220
59	0.019	0.227
60	0.006	0.240
61	0.013	0.227
62	0.006	0.259
63	0.013	0.278

HS Hafnaf (Adaltafla  09/22/10 14:10)	Phase B Current Harmonics Summary, RMS Values. Sep 23 2010 14:10:56 (K=0.5)
Harm	Avg	Max
1	22.841	57.283
2	0.181	4.435
3	2.622	6.099
4	0.104	1.878
5	1.327	2.855
6	0.084	1.256
7	2.382	5.166
8	0.058	1.793
9	1.198	2.777
10	0.039	0.919
11	1.101	2.557
12	0.039	1.088
13	0.589	1.839
14	0.039	1.152
15	0.376	1.237
16	0.032	1.353
17	0.524	1.787
18	0.032	1.483
19	0.343	2.454
20	0.026	1.664
21	0.175	9.303
22	0.026	1.431
23	0.220	2.001
24	0.026	1.036
25	0.240	1.515
26	0.019	0.887
27	0.078	0.829
28	0.019	0.757
29	0.136	0.906
30	0.013	0.751
31	0.091	0.751
32	0.013	0.634
33	0.058	0.518
34	0.013	0.518
35	0.071	0.505
36	0.013	0.382
37	0.045	0.388
38	0.013	0.285
39	0.032	0.304
40	0.013	0.343
41	0.026	0.311
42	0.006	0.272
43	0.032	0.317
44	0.006	0.265
45	0.026	0.285
46	0.006	0.259
47	0.026	0.272
48	0.006	0.240
49	0.019	0.298
50	0.006	0.278
51	0.019	0.285
52	0.013	0.278
53	0.019	0.330
54	0.013	0.317
55	0.019	0.324
56	0.013	0.343
57	0.013	0.337
58	0.013	0.337
59	0.019	0.376
60	0.013	0.395
61	0.019	0.369
62	0.013	0.401
63	0.019	0.466

HS Hafnaf (Adaltafla  09/22/10 14:10)	Phase A Voltage Harmonics Summary, RMS Values. Sep 23 2010 14:10:56 (K=1)
Harm	Avg	Max
1	234.623	240.579
2	0.173	3.194
3	1.122	2.503
4	0.086	1.640
5	1.209	3.453
6	0.086	0.863
7	2.072	4.230
8	0.086	1.467
9	1.036	2.503
10	0.086	0.863
11	1.036	2.503
12	0.086	0.863
13	0.604	1.467
14	0.086	0.777
15	0.259	0.950
16	0.000	0.604
17	0.259	1.640
18	0.086	0.604
19	0.259	3.367
20	0.000	2.417
21	0.173	11.308
22	0.000	1.899
23	0.173	1.726
24	0.000	0.432
25	0.086	0.950
26	0.000	0.259
27	0.086	0.432
28	0.000	0.259
29	0.086	0.432
30	0.000	0.259
31	0.086	0.345
32	0.086	0.518
33	0.086	0.345
34	0.000	0.259
35	0.086	0.345
36	0.000	0.345
37	0.086	0.345
38	0.000	0.345
39	0.000	0.345
40	0.000	0.345
