Vistor 23/09/10 (Adaltafla 09/23/10 15:55)	Phase A Current Harmonics Summary, RMS Values. Sep 24 2010 15:55:05
Harm	Avg	Max
1	153.696	284.863
2	1.554	6.733
3	6.992	10.618
4	0.259	2.331
5	1.554	3.884
6	0.129	2.201
7	1.683	5.050
8	0.129	4.273
9	0.906	5.956
10	0.129	2.590
11	1.165	2.590
12	0.129	1.683
13	1.683	2.849
14	0.129	0.906
15	0.518	1.165
16	0.129	0.777
17	1.165	1.813
18	0.129	1.036
19	1.295	1.942
20	0.129	0.518
21	0.388	1.036
22	0.129	0.518
23	0.388	0.777
24	0.000	0.647
25	0.129	0.518
26	0.000	0.388
27	0.129	0.518
28	0.000	0.388
29	0.129	0.388
30	0.000	0.388
31	0.129	0.388
32	0.129	0.518
33	0.000	0.388
34	0.000	0.259
35	0.129	0.388
36	0.000	0.259
37	0.000	0.259
38	0.000	0.259
39	0.000	0.388
40	0.000	0.259
41	0.000	0.388
42	0.000	0.388
43	0.000	0.259
44	0.000	0.388
45	0.000	0.388
46	0.000	0.388
47	0.000	0.388
48	0.000	0.388
49	0.000	0.388
50	0.000	0.518
51	0.000	0.388
52	0.000	0.518
53	0.000	0.518
54	0.000	0.518
55	0.000	0.518
56	0.000	0.647
57	0.000	0.647
58	0.000	0.647
59	0.000	0.777
60	0.000	0.647
61	0.000	0.777
62	0.000	0.906
63	0.000	1.036

Vistor 23/09/10 (Adaltafla 09/23/10 15:55)	Phase B Current Harmonics Summary, RMS Values. Sep 24 2010 15:55:05
Harm	Avg	Max
1	166.127	301.825
2	1.683	7.251
3	6.345	10.229
4	0.259	2.978
5	1.813	3.626
6	0.129	2.072
7	1.683	4.920
8	0.129	5.179
9	1.554	6.604
10	0.129	1.165
11	0.777	2.460
12	0.129	1.165
13	0.906	1.942
14	0.129	1.295
15	0.388	1.165
16	0.129	0.777
17	0.906	1.424
18	0.129	0.777
19	0.906	1.554
20	0.000	0.647
21	0.259	0.647
22	0.129	0.518
23	0.388	0.906
24	0.000	0.518
25	0.259	0.647
26	0.000	0.518
27	0.129	0.388
28	0.000	0.388
29	0.129	0.518
30	0.000	0.259
31	0.129	0.388
32	0.129	0.388
33	0.129	0.388
34	0.000	0.259
35	0.129	0.388
36	0.000	0.259
37	0.000	0.259
38	0.000	0.259
39	0.000	0.388
40	0.000	0.388
41	0.000	0.388
42	0.000	0.388
43	0.129	0.388
44	0.000	0.388
45	0.000	0.518
46	0.000	0.518
47	0.000	0.388
48	0.000	0.518
49	0.000	0.388
50	0.000	0.518
51	0.000	0.518
52	0.000	0.518
53	0.000	0.518
54	0.000	0.647
55	0.000	0.647
56	0.000	0.777
57	0.000	0.647
58	0.000	0.647
59	0.000	0.777
60	0.000	0.777
61	0.000	0.647
62	0.000	0.777
63	0.000	1.036

Vistor 23/09/10 (Adaltafla 09/23/10 15:55)	Phase A Voltage Harmonics Summary, RMS Values. Sep 24 2010 15:55:05
Harm	Avg	Max
1	224.178	229.185
2	0.173	1.295
3	1.899	3.108
4	0.086	0.691
5	1.985	2.676
6	0.086	1.381
7	1.899	4.575
8	0.086	3.280
9	0.777	3.626
10	0.086	1.381
11	0.518	0.863
12	0.086	0.777
13	0.518	0.863
14	0.086	0.259
15	0.173	0.432
16	0.086	0.345
17	0.345	0.604
18	0.086	0.345
19	0.432	0.691
20	0.086	0.173
21	0.173	0.432
22	0.086	0.259
23	0.086	0.345
24	0.086	0.259
25	0.086	0.259
26	0.086	0.173
27	0.086	0.259
28	0.086	0.259
29	0.086	0.259
30	0.000	0.259
31	0.086	0.259
32	0.173	0.518
33	0.086	0.259
34	0.000	0.259
35	0.086	0.259
36	0.000	0.259
37	0.086	0.259
38	0.000	0.259
39	0.086	0.259
40	0.086	0.345
41	0.086	0.345
42	0.086	0.259
43	0.086	0.345
44	0.000	0.259
45	0.086	0.345
46	0.000	0.345
47	0.086	0.345
48	0.000	0.518
49	0.086	0.432
50	0.086	0.432
51	0.086	0.432
52	0.086	0.432
53	0.086	0.518
54	0.086	0.604
55	0.086	0.604
56	0.086	0.604
57	0.086	0.604
58	0.086	0.604
59	0.086	0.604
60	0.086	0.691
61	0.086	0.777
62	0.086	0.950
63	0.086	1.122

Vistor 23/09/10 (Adaltafla 09/23/10 15:55)	Phase B Voltage Harmonics Summary, RMS Values. Sep 24 2010 15:55:05
Harm	Avg	Max
1	224.006	228.149
2	0.259	1.813
3	1.295	3.108
4	0.086	0.950
5	1.295	2.417
6	0.173	2.244
7	1.554	3.712
8	0.086	2.676
9	1.036	3.712
10	0.086	1.122
11	0.604	1.640
12	0.086	0.691
13	0.259	1.122
14	0.086	0.691
15	0.086	0.518
16	0.086	0.518
17	0.259	0.691
18	0.086	0.518
19	0.345	0.691
20	0.086	0.345
21	0.086	0.432
22	0.086	0.259
23	0.173	0.432
24	0.086	0.345
25	0.086	0.345
26	0.000	0.345
27	0.086	0.259
28	0.086	0.259
29	0.086	0.345
30	0.000	0.259
31	0.086	0.259
32	0.086	0.345
33	0.086	0.259
34	0.000	0.259
35	0.086	0.259
36	0.000	0.259
37	0.086	0.345
38	0.000	0.259
39	0.086	0.259
40	0.000	0.345
41	0.086	0.345
42	0.086	0.345
43	0.086	0.345
44	0.086	0.345
45	0.086	0.345
46	0.000	0.345
47	0.086	0.432
48	0.000	0.432
49	0.086	0.518
50	0.086	0.432
51	0.086	0.432
52	0.086	0.518
53	0.086	0.604
54	0.086	0.604
55	0.086	0.691
56	0.086	0.777
57	0.086	0.691
58	0.086	0.604
59	0.086	0.863
60	0.086	0.777
61	0.086	0.863
62	0.086	0.777
63	0.086	1.122

Vistor 23/09/10 (Adaltafla 09/23/10 15:55)	Phase C Voltage Harmonics Summary, RMS Values. Sep 24 2010 15:55:05
Harm	Avg	Max
1	226.336	231.257
2	0.259	1.813
3	1.985	3.539
4	0.086	1.036
5	1.554	2.849
6	0.086	2.503
7	2.158	3.798
8	0.086	3.280
9	0.950	4.316
10	0.086	1.467
11	0.518	1.899
12	0.086	1.122
13	0.259	1.036
14	0.086	0.777
15	0.173	0.691
16	0.086	0.518
17	0.259	0.777
18	0.086	0.518
19	0.259	0.604
20	0.000	0.518
21	0.086	0.518
22	0.000	0.432
23	0.173	0.432
24	0.086	0.432
25	0.086	0.432
26	0.086	0.345
27	0.086	0.345
28	0.000	0.259
29	0.086	0.259
30	0.000	0.259
31	0.086	0.259
32	0.086	0.432
33	0.086	0.345
34	0.000	0.345
35	0.086	0.259
36	0.000	0.345
37	0.086	0.259
38	0.000	0.345
39	0.086	0.345
40	0.086	0.432
41	0.086	0.345
42	0.086	0.432
43	0.000	0.345
44	0.000	0.432
45	0.000	0.345
46	0.000	0.432
47	0.086	0.432
48	0.086	0.518
49	0.086	0.518
50	0.086	0.432
51	0.086	0.518
52	0.086	0.518
53	0.086	0.518
54	0.086	0.518
55	0.086	0.604
56	0.086	0.691
57	0.086	0.691
58	0.086	0.777
59	0.086	0.691
60	0.086	0.691
61	0.086	0.777
62	0.086	0.777
63	0.086	1.036

Vistor 23/09/10 (Adaltafla 09/23/10 15:55)	Phase C Current Harmonics Summary, RMS Values. Sep 24 2010 15:55:05
Harm	Avg	Max
1	137.252	283.179
2	1.683	6.604
3	6.215	13.596
4	0.259	2.460
5	1.036	4.661
6	0.129	4.402
7	2.201	6.604
8	0.129	6.733
9	2.072	9.841
10	0.129	3.626
11	0.647	3.367
12	0.129	2.590
13	0.777	2.849
14	0.129	1.813
15	0.647	1.554
16	0.129	1.295
17	1.036	1.813
18	0.129	1.036
19	0.777	1.424
20	0.000	0.906
21	0.259	0.906
22	0.000	0.906
23	0.388	0.906
24	0.129	0.647
25	0.259	0.647
26	0.000	0.518
27	0.129	0.518
28	0.000	0.518
29	0.129	0.518
30	0.000	0.518
31	0.129	0.647
32	0.129	0.518
33	0.129	0.518
34	0.000	0.388
35	0.129	0.518
36	0.000	0.518
37	0.000	0.388
38	0.000	0.388
39	0.000	0.518
40	0.000	0.518
41	0.000	0.647
42	0.000	0.647
43	0.000	0.518
44	0.000	0.518
45	0.000	0.518
46	0.000	0.518
47	0.000	0.518
48	0.000	0.777
49	0.000	0.777
50	0.000	0.647
51	0.000	0.777
52	0.000	0.777
53	0.000	0.647
54	0.000	0.777
55	0.000	0.777
56	0.000	0.906
57	0.000	0.906
58	0.000	0.906
59	0.000	0.906
60	0.000	1.036
61	0.000	1.036
62	0.000	1.295
63	0.000	1.295

Vistor 23/09/10 (Adaltafla 09/23/10 15:55)	Neutral Voltage Harmonics Summary, RMS Values. Sep 24 2010 15:55:05
Harm	Avg	Max
1	0.086	0.173
2	0.000	0.173
3	0.000	0.173
4	0.000	0.173
5	0.000	0.173
6	0.000	0.086
7	0.000	0.173
8	0.000	0.259
9	0.000	0.173
10	0.000	0.173
11	0.000	0.173
12	0.000	0.173
13	0.000	0.173
14	0.000	0.173
15	0.000	0.173
16	0.000	0.173
17	0.000	0.173
18	0.000	0.173
19	0.000	0.173
20	0.000	0.173
21	0.000	0.173
22	0.000	0.173
23	0.000	0.173
24	0.000	0.173
25	0.000	0.173
26	0.000	0.173
27	0.000	0.173
28	0.000	0.173
29	0.000	0.173
30	0.000	0.173
31	0.000	0.173
32	0.000	0.173
33	0.000	0.173
34	0.000	0.173
35	0.000	0.259
36	0.000	0.259
37	0.000	0.173
38	0.000	0.173
39	0.000	0.259
40	0.000	0.259
41	0.000	0.259
42	0.000	0.259
43	0.000	0.173
44	0.000	0.259
45	0.000	0.259
46	0.000	0.259
47	0.000	0.259
48	0.000	0.345
49	0.000	0.345
50	0.000	0.345
51	0.000	0.345
52	0.000	0.345
53	0.000	0.432
54	0.000	0.432
55	0.000	0.432
56	0.000	0.518
57	0.000	0.432
58	0.000	0.432
59	0.000	0.432
60	0.000	0.604
61	0.000	0.604
62	0.000	0.604
63	0.000	0.604

Vistor 23/09/10 (Adaltafla 09/23/10 15:55)	Neutral Current Harmonics Summary, RMS Values. Sep 24 2010 15:55:05
Harm	Avg	Max
1	19.798	53.748
2	0.492	4.946
3	18.387	26.803
4	0.285	2.641
5	3.095	6.863
6	0.129	2.667
7	1.515	4.389
8	0.155	3.600
9	4.286	9.206
10	0.142	3.729
11	1.010	4.092
12	0.155	1.528
13	0.531	1.593
14	0.091	0.686
15	0.609	1.411
16	0.065	0.712
17	0.311	1.178
18	0.065	0.751
19	0.233	0.686
20	0.039	0.440
21	0.673	1.385
22	0.039	0.492
23	0.194	0.518
24	0.039	0.466
25	0.078	0.363
26	0.026	0.531
27	0.078	0.453
28	0.026	0.479
29	0.104	0.557
30	0.026	0.466
31	0.065	0.557
32	0.026	0.337
33	0.129	0.311
34	0.013	0.246
35	0.065	0.285
36	0.013	0.246
37	0.026	0.272
38	0.013	0.233
39	0.129	0.285
40	0.013	0.233
41	0.052	0.246
42	0.013	0.207
43	0.065	0.246
44	0.013	0.220
45	0.065	0.246
46	0.013	0.259
